College,Fraternity,Instagram Handle,State,Instagram URL,Followers
Abraham Baldwin Agricultural College,Lambda Sigma Upsilon,https://www.instagram.com/abac.upsilons/,GA,https://www.instagram.com/abac.upsilons/,
Abraham Baldwin Agricultural College,Alpha Gamma Rho,,GA,,
Abraham Baldwin Agricultural College,Kappa Sigma,,GA,,
Academy of Art University,Kappa Sigma,,CA,,
Adelphi University,Kappa Sigma,https://www.instagram.com/AUKappaSigma/,NY,https://www.instagram.com/AUKappaSigma/,
Adelphi University,Delta Chi,https://www.instagram.com/deltachiadelphi/,NY,https://www.instagram.com/deltachiadelphi/,
Adelphi University,Pi Lambda Phi,,NY,,
Adelphi University,Phi Sigma Kappa,,NY,,
Adelphi University,Tau Kappa Epsilon,,NY,,
Adelphi University,Alpha Sigma Phi,,NY,,
Adelphi University,Zeta Beta Tau,,NY,,
Adrian College,Alpha Tau Omega,,MI,,
Adrian College,Theta Chi,,MI,,
Adrian College,Sigma Alpha Epsilon,,MI,,
Adrian College,Tau Kappa Epsilon,,MI,,
Adrian College,Phi Kappa Sigma,,MI,,
Alabama A&M University,Kappa Alpha Psi,,AL,,
Alabama A&M University,Omega Psi Phi,,AL,,
Alabama A&M University,Phi Beta Sigma,,AL,,
Alabama A&M University,Alpha Phi Alpha,,AL,,
Albany State University,Kappa Alpha Psi,,GA,,
Albany State University,Omega Psi Phi,,GA,,
Albany State University,Phi Beta Sigma,,GA,,
Albany State University,Alpha Phi Alpha,,GA,,
Albany State University,Iota Phi Theta,,GA,,
Albion College,Delta Tau Delta,https://www.instagram.com/albiondtd/,MI,https://www.instagram.com/albiondtd/,
Albion College,Sigma Chi,https://www.instagram.com/sigmachi_albion/?hl=en,MI,https://www.instagram.com/sigmachi_albion/?hl=en,
Albion College,Tau Kappa Epsilon,@albiontke,MI,instagram.com/albiontke,
Albion College,Delta Sigma Phi,@deltsig_albion,MI,instagram.com/deltsig_albion,
Albion College,Alpha Tau Omega,,MI,,
Albion College,Sigma Nu,,MI,,
Albright College,Sigma Alpha Epsilon,https://www.instagram.com/sae_albright/,PA,https://www.instagram.com/sae_albright/,
Albright College,Alpha Sigma Phi,@alphasig_ac,PA,instagram.com/alphasig_ac,
Albright College,Pi Kappa Phi,,PA,,
Alcorn State University,Phi Beta Sigma,@alphazetachapter,MS,instagram.com/alphazetachapter,
Alcorn State University,Kappa Alpha Psi,@gpi_nupes1949,MS,instagram.com/gpi_nupes1949,
Alcorn State University,Omega Psi Phi,,MS,,
Alcorn State University,Alpha Phi Alpha,,MS,,
Alcorn State University,Iota Phi Theta,,MS,,
Allegheny College,Phi Delta Theta,https://www.instagram.com/acphidelt/,PA,https://www.instagram.com/acphidelt/,
Allegheny College,Delta Tau Delta,https://www.instagram.com/allegheny_delts/,PA,https://www.instagram.com/allegheny_delts/,
Allegheny College,Sigma Alpha Epsilon,https://www.instagram.com/allegheny.sae/,PA,https://www.instagram.com/allegheny.sae/,
Allegheny College,Phi Kappa Psi,https://www.instagram.com/phipsiallegheny/,PA,https://www.instagram.com/phipsiallegheny/,
Allegheny College,Theta Chi,https://www.instagram.com/thetachiac/,PA,https://www.instagram.com/thetachiac/,
Allegheny College,Phi Gamma Delta,https://www.instagram.com/allegheny_fiji/?hl=en,PA,https://www.instagram.com/allegheny_fiji/?hl=en,
Allen University,Phi Beta Sigma,@ausomesigmas,SC,instagram.com/ausomesigmas,
Allen University,Alpha Phi Alpha,,SC,,
Alma College,Sigma Chi,@sigmachi_thetanu,MI,instagram.com/sigmachi_thetanu,
Alma College,Theta Chi,,MI,,
Alma College,Tau Kappa Epsilon,,MI,,
Alma College,Sigma Alpha Epsilon,,MI,,
American International College,Kappa Alpha Psi,,MA,,
American International College,Phi Beta Sigma,,MA,,
American International College,Alpha Phi Alpha,,MA,,
American International College,Iota Phi Theta,,MA,,
American International College,Omega Psi Phi,,MA,,
American International College,Theta Chi,,MA,,
American University,Sigma Chi,https://www.instagram.com/ausigmachi/,DC,https://www.instagram.com/ausigmachi/,
American University,Alpha Epsilon Pi,@aepi_american,DC,instagram.com/aepi_american,
American University,Alpha Sigma Phi,@alphasigsau,DC,instagram.com/alphasigsau,
American University,Pi Kappa Alpha,@aupikes,DC,instagram.com/aupikes,
American University,Sigma Phi Epsilon,@ausigep,DC,instagram.com/ausigep,
American University,Kappa Alpha Psi,@kx_nupes,DC,instagram.com/kx_nupes,
American University,Sigma Alpha Epsilon,@saeamericanu,DC,instagram.com/saeamericanu,
American University,Sigma Alpha Mu,@sammydeltabeta,DC,instagram.com/sammydeltabeta,
American University,Zeta Psi,@zetapsiamerican,DC,instagram.com/zetapsiamerican,
American University,Phi Sigma Kappa,,DC,,
American University,Beta Theta Pi,,DC,,
American University,Delta Chi,,DC,,
American University,Zeta Beta Tau,,DC,,
American University,Delta Tau Delta,,DC,,
American University,Lambda Chi Alpha,,DC,,
American University,Alpha Tau Omega,,DC,,
American University,Kappa Sigma,,DC,,
American University,Phi Beta Sigma,,DC,,
American University,Pi Kappa Phi,,DC,,
American University,Tau Kappa Epsilon,,DC,,
Anderson University,Alpha Epsilon Pi,,SC,,
Anderson University,Alpha Phi Alpha,,SC,,
Angelo State University,Kappa Sigma,@asukappasigma,TX,instagram.com/asukappasigma,
Angelo State University,Lambda Chi Alpha,@asulambdachialpha,TX,instagram.com/asulambdachialpha,
Angelo State University,Pi Kappa Alpha,@asupikes,TX,instagram.com/asupikes,
Angelo State University,Kappa Delta Rho,,TX,,
Angelo State University,Tau Kappa Epsilon,,TX,,
Appalachian State University,Pi Kappa Alpha,https://www.instagram.com/appstatepikes/,NC,https://www.instagram.com/appstatepikes/,
Appalachian State University,Kappa Sigma,@appkappasigma,NC,instagram.com/appkappasigma,
Appalachian State University,Delta Sigma Phi,@appstatedeltasig,NC,instagram.com/appstatedeltasig,
Appalachian State University,Delta Chi,,NC,,
Appalachian State University,Sigma Nu,,NC,,
Appalachian State University,Phi Gamma Delta,,NC,,
Appalachian State University,Delta Tau Delta,,NC,,
Appalachian State University,Kappa Alpha Order,,NC,,
Appalachian State University,Sigma Alpha Epsilon,,NC,,
Appalachian State University,Alpha Sigma Phi,,NC,,
Appalachian State University,Alpha Tau Omega,,NC,,
Appalachian State University,Phi Sigma Kappa,,NC,,
Appalachian State University,Phi Kappa Tau,,NC,,
Appalachian State University,Pi Kappa Phi,,NC,,
Appalachian State University,Theta Chi,,NC,,
Appalachian State University,Tau Kappa Epsilon,,NC,,
