chapter_name,university,city,state_province,country,region
Alpha,Miami University,Oxford,OH,United States,Southern Ohio
Alpha Alpha,Hobart College,Geneva,NY,United States,Northwestern New York
Alpha Beta,University of California-Berkeley,Berkeley,CA,United States,California Bay Area
Alpha Chi,Pennsylvania State University,State College,PA,United States,Central Pennsylvania
Alpha Epsilon,University of Nebraska,Lincoln,NE,United States,Kansas/Nebraska
Alpha Gamma,Ohio State University,Columbus,OH,United States,Southern Ohio
Alpha Kappa,Hillsdale College,Hillsdale,MI,United States,West Michigan
Alpha Nu,University of Texas-Austin,Austin,TX,United States,Central Texas
Alpha Omega,Stanford University,Stanford,CA,United States,California Bay Area
Alpha Omicron,Tulane University,New Orleans,LA,United States,Southern
Alpha Phi,Cornell University,Ithaca,NY,United States,Northwestern New York
Alpha Pi,Albion College,Albion,MI,United States,West Michigan
Alpha Sigma,University of Minnesota,Minneapolis,MN,United States,North Central
Alpha Tau,University of North Carolina,Chapel Hill,NC,United States,Eastern North Carolina
Alpha Theta,Massachusetts Institute of Technology,Boston,MA,United States,Boston Harbor
Alpha Upsilon,University of Southern California,Los Angeles,CA,United States,Los Angeles Coastal
Alpha Zeta,Beloit College,Beloit,WI,United States,Wisconsin
Beta Chi,Emory University,Atlanta,GA,United States,North Georgia
Beta Delta,University of Montana,Missoula,MT,United States,The Big Sky
Beta Epsilon,University of Utah,Salt Lake City,UT,United States,Utah/Nevada
Beta Eta,Case Western Reserve University,Cleveland,OH,United States,Northern Ohio
Beta Gamma,Colorado College,Colorado Springs,CO,United States,Rocky Mountain
Beta Iota,University of Oregon,Eugene,OR,United States,Northwestern
Beta Kappa,University of Oklahoma,Norman,OK,United States,Oklahoma/Arkansas
Beta Lambda,Duke University,Durham,NC,United States,Eastern North Carolina
Beta Mu,University of Colorado-Boulder,Boulder,CO,United States,Rocky Mountain
Beta Omega,University of Toronto-Toronto Metropolitan University,Toronto,ON,Canada,Ontario
Beta Phi,University of Arizona,Tucson,AZ,United States,Grand Canyon
Beta Pi,Oregon State University,Corvallis,OR,United States,Northwestern
Beta Psi,Georgia Tech,Atlanta,GA,United States,North Georgia
Beta Rho,Montana State University,Bozeman,MT,United States,The Big Sky
Beta Sigma,University of Tennessee-Knoxville,Knoxville,TN,United States,East Tennessee
Beta Upsilon,Washington State University,Pullman,WA,United States,The Big Sky
