College,Fraternity Name,Instagram Handle
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adelphi University","",""
"Adrian College","",""
"Adrian College","",""
"Adrian College","",""
"Alabama Agricultural and Mechanical University","Sigma Chi",""
"Albany State University","",""
"Albany State University","",""
"Albany State University","",""
"Albany State University","",""
"Albany State University","",""
"Albion College","",""
"Albion College","",""
"Albion College","",""
"Albion College","",""
"Albion College","Sigma Chi",""
"Albion College","",""
"Albion College","",""
"Albright College","",""
"Albright College","",""
"Albright College","",""
"Alcorn State University","",""
"Alcorn State University","",""
"Alcorn State University","",""
"Alcorn State University","",""
"Allegheny College","",""
"Allegheny College","",""
"Allegheny College","",""
"Allegheny College","",""
"Allegheny College","",""
"Allen University","",""
"Allen University","",""
"Allen University","",""
"Allen University","",""
"Alma College","",""
"Alma College","",""
"Alma College","",""
"Alma College","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","Sigma Chi",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"American University","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Amherst College","",""
"Angelo State University","",""
"Angelo State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Appalachian State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","Pi Kappa Alpha",""
"Arizona State University","Sigma Chi","@asusigmachi"
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","Zeta Beta Tau",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","Sigma Nu",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arizona State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","",""
"Arkansas State University","Sigma Chi",""
"Arkansas Tech University","",""
"Arkansas Tech University","",""
"Arkansas Tech University","",""
"Arkansas Tech University","",""
"Ashland University","",""
"Ashland University","",""
"Ashland University","",""
"Ashland University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","Sigma Chi","@auburnsigmachi"
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University","",""
"Auburn University at Montgomery","Sigma Chi",""
"Augusta University","",""
"Augusta University","",""
"Augusta University","",""
"Augusta University","",""
"Augusta University","",""
"Aurora University","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin College","",""
"Austin Peay State University","Sigma Chi",""
"Austin Peay State University","",""
"Austin Peay State University","",""
"Austin Peay State University","",""
