College,Fraternity Name,Instagram Handle
Arizona State University,Sigma Chi,@asusigmachi
Auburn University,Sigma Chi,@auburnsigmachi
Boston University,Sigma Chi,@busigmachi
Case Western Reserve University,Sigma Chi,@cwrusigmachi
Clemson University,Sigma Chi,@clemsonsigmachi
Duke University,Sigma Chi,@dukesigmachi
Florida State University,Sigma Chi,@fsusigmachi
Georgia Tech,Sigma Chi,@gtsigmachi
Hillsdale College,Sigma Chi,@hillsdalesigmachi
Indiana University,Sigma Chi,@iusigmachi
Iowa State University,Sigma Chi,@isusigmachi
Louisiana State University,Sigma Chi,@sigmachilsu
Miami University,Sigma Chi,@miamiu sigmachi
Michigan State University,Sigma Chi,@msu_sigmachi
Mississippi State University,Sigma Chi,@msusigmachi
North Carolina State University,Sigma Chi,@ncsusigmachi
Northwestern University,Sigma Chi,@sigsatnorthwestern
Ohio State University,Alpha Tau Omega,@ato_osu
Ohio State University,Phi Delta Theta,@phidelt_osu
Ohio State University,Sigma Chi,@osusigmachi
Ohio State University,Sigma Phi Epsilon,@sigep_osu
Oklahoma State University,Sigma Chi,@okstatesigmachi
Pennsylvania State University,Alpha Tau Omega,@ato_psu
Pennsylvania State University,Chi Phi,@chiphipsu
Pennsylvania State University,Lambda Chi Alpha,@lambdachipsu
Pennsylvania State University,Phi Delta Theta,@phidelt_psu
Pennsylvania State University,Pi Kappa Alpha,@pikes_psu
Pennsylvania State University,Sigma Phi Epsilon,@sigep_psu
Purdue University,Sigma Chi,@purduesigmachi
Stanford University,Sigma Chi,@stanfordsigmachi
Syracuse University,Sigma Chi,@susigmachi
Texas A&M University,Sigma Chi,@tamusicmachi
Texas Christian University,Sigma Chi,@sigmachitcu
Texas Tech University,Sigma Chi,@texastech.sigmachi
The University of Alabama,Pi Kappa Alpha,@pikes_bama
The University of Alabama,Sigma Alpha Epsilon,@sae_bama
The University of Alabama,Sigma Chi,@sigmachi_bama
University of Arizona,Sigma Chi,@az_sigmachi
University of Arkansas,Sigma Chi,@uarksigmachi
University of California, Los Angeles,Sigma Chi,@uclasigmachi
University of Colorado Boulder,Sigma Chi,@cubuffssigmachi
University of Florida,Sigma Chi,@ufsigmachi
University of Georgia,Sigma Chi,@ugasigmachi
University of Georgia,Sigma Nu,@sigmanu_uga
University of Georgia,Sigma Phi Epsilon,@sigep_uga
University of Illinois Urbana-Champaign,Sigma Chi,@uiucsigmachi
University of Iowa,Sigma Chi,@uiowasigmachi
University of Kansas,Sigma Chi,@sigmachi_ku
University of Kentucky,Sigma Chi,@uk_sigmachi
University of Miami,Sigma Chi,@sigmachi_umiami
University of Michigan,Sigma Chi,@michigansigmachi
University of Minnesota,Sigma Chi,@umnsigmachi
University of Mississippi,Sigma Chi,@olemisssigmachi
University of Nebraska-Lincoln,Sigma Chi,@nebraskasigmachi
University of North Carolina at Chapel Hill,Sigma Chi,@sigmachiunc
University of Oklahoma,Sigma Chi,@ousigmachi
University of Oregon,Sigma Chi,@uosigmachi
University of South Carolina,Sigma Chi,@uscsigmachi
University of Southern California,Phi Delta Theta,@phidelt_usc
University of Southern California,Sigma Chi,@trojansigs
University of Tennessee,Sigma Chi,@utksigmachi
University of Virginia,Sigma Chi,@uvasigmachi
University of Washington,Sigma Chi,@uwsigmachi
University of Wisconsin-Madison,Sigma Chi,@sigmachiwisconsin
Vanderbilt University,Sigma Chi,@vandysigs
Virginia Tech,Alpha Epsilon Pi,@aepivt
Virginia Tech,Alpha Gamma Rho,@agr_vt
Virginia Tech,Alpha Sigma Phi,@vtalphasig
Virginia Tech,Alpha Tau Omega,@vtatovt
Virginia Tech,Beta Theta Pi,@betathepivatech
Virginia Tech,Delta Chi,@deltachivt
Virginia Tech,Delta Sigma Phi,@deltasigvt
Virginia Tech,Delta Upsilon,@duvt
Virginia Tech,Kappa Alpha Order,@kaovt
Virginia Tech,Lambda Chi Alpha,@lambdachivt
Virginia Tech,Phi Delta Theta,@phideltvt
Virginia Tech,Phi Gamma Delta,@vtfiji
Virginia Tech,Phi Kappa Psi,@phipsivt
Virginia Tech,Phi Kappa Sigma,@phikappasigmavt
Virginia Tech,Phi Kappa Tau,@phiktvatech
Virginia Tech,Phi Sigma Kappa,@phisigvt
Virginia Tech,Pi Kappa Alpha,@pikevt
Virginia Tech,Sigma Alpha Epsilon,@saevt
Virginia Tech,Sigma Chi,@vtechsigmachi
Virginia Tech,Sigma Nu,@sigmanuvt
Virginia Tech,Sigma Phi Delta,@sigmaphideltavt
Virginia Tech,Sigma Phi Epsilon,@sigepvt
Virginia Tech,Sigma Tau Gamma,@sigtauvt
Virginia Tech,Tau Kappa Epsilon,@tkevt
Virginia Tech,Theta Chi,@thetachivt
Virginia Tech,Theta Delta Chi,@tdxvt
Virginia Tech,Theta Xi,@thetaxivt
Virginia Tech,Triangle,@trianglevt
Virginia Tech,Zeta Beta Tau,@zbtvt
Virginia Tech,Zeta Psi,@zetapsivt
Wake Forest University,Sigma Chi,@sigmachideltanu
Washington University in St. Louis,Sigma Chi,@wustlsigmachi
West Virginia University,Sigma Chi,@sigmachiwv
