college,state,division,type
Alabama Agricultural and Mechanical University,AL,Division I,Public
Alabama State University,AL,Division I,Public
Auburn University,AL,Division I,Public
Jacksonville State University,AL,Division I,Public
Samford University,AL,Division I,Private
The University of Alabama,AL,Division I,Public
Troy University,AL,Division I,Public
University of Alabama at Birmingham,AL,Division I,Public
University of North Alabama,AL,Division I,Public
University of South Alabama,AL,Division I,Public
Arkansas State University,AR,Division I,Public
University of Arkansas,AR,Division I,Public
University of Arkansas at Little Rock,AR,Division I,Public
University of Arkansas at Pine Bluff,AR,Division I,Public
University of Central Arkansas,AR,Division I,Public
Arizona State University,AZ,Division I,Public
Grand Canyon University,AZ,Division I,Private
Northern Arizona University,AZ,Division I,Public
University of Arizona,AZ,Division I,Public
California Baptist University,CA,Division I,Private
California Polytechnic State University,CA,Division I,Public
"California State University, Bakersfield",CA,Division I,Public
"California State University, Fresno",CA,Division I,Public
"California State University, Fullerton",CA,Division I,Public
"California State University, Long Beach",CA,Division I,Public
"California State University, Northridge",CA,Division I,Public
"California State University, Sacramento",CA,Division I,Public
Leland Stanford Junior University,CA,Division I,Private
Loyola Marymount University,CA,Division I,Private
Pepperdine University,CA,Division I,Private
Saint Mary's College of California,CA,Division I,Private
San Diego State University,CA,Division I,Public
San Jose State University,CA,Division I,Public
Santa Clara University,CA,Division I,Private
"University of California, Berkeley",CA,Division I,Public
"University of California, Davis",CA,Division I,Public
"University of California, Irvine",CA,Division I,Public
"University of California, Los Angeles",CA,Division I,Public
"University of California, Riverside",CA,Division I,Public
"University of California, San Diego",CA,Division I,Public
"University of California, Santa Barbara",CA,Division I,Public
University of San Diego,CA,Division I,Private
University of San Francisco,CA,Division I,Private
University of Southern California,CA,Division I,Private
University of the Pacific,CA,Division I,Private
Colorado State University,CO,Division I,Public
United States Air Force Academy,CO,Division I,Federal
University of Colorado Boulder,CO,Division I,Public
University of Denver,CO,Division I,Private
University of Northern Colorado,CO,Division I,Public
Central Connecticut State University,CT,Division I,Public
Fairfield University,CT,Division I,Private
Quinnipiac University,CT,Division I,Private
Sacred Heart University,CT,Division I,Private
University of Connecticut,CT,Division I,Public
Yale University,CT,Division I,Private
American University,DC,Division I,Private
Georgetown University,DC,Division I,Private
Howard University,DC,Division I,Private
The George Washington University,DC,Division I,Private
Delaware State University,DE,Division I,Public[O 1]
University of Delaware,DE,Division I,Public[O 1]
Bethune–Cookman University,FL,Division I,Private
Florida Agricultural and Mechanical University,FL,Division I,Public
Florida Atlantic University,FL,Division I,Public
Florida Gulf Coast University,FL,Division I,Public
Florida International University,FL,Division I,Public
Florida State University,FL,Division I,Public
Jacksonville University,FL,Division I,Private
Stetson University,FL,Division I,Private
University of Central Florida,FL,Division I,Public
University of Florida,FL,Division I,Public
University of Miami,FL,Division I,Private
University of North Florida,FL,Division I,Public
University of South Florida,FL,Division I,Public
Georgia Institute of Technology,GA,Division I,Public
Georgia Southern University,GA,Division I,Public
Georgia State University,GA,Division I,Public
Kennesaw State University,GA,Division I,Public
Mercer University,GA,Division I,Private
University of Georgia,GA,Division I,Public
University of Hawaiʻi at Mānoa,HI,Division I,Public
Drake University,IA,Division I,Private
Iowa State University of Science and Technology[N 6],IA,Division I,Public
State University of Iowa[N 10],IA,Division I,Public
University of Northern Iowa,IA,Division I,Public
Boise State University,ID,Division I,Public
Idaho State University,ID,Division I,Public
University of Idaho,ID,Division I,Public
Bradley University,IL,Division I,Private
Chicago State University,IL,Division I,Public
DePaul University,IL,Division I,Private
Eastern Illinois University,IL,Division I,Public
Illinois State University,IL,Division I,Public
Loyola University Chicago,IL,Division I,Private
Northern Illinois University,IL,Division I,Public
Northwestern University,IL,Division I,Private
Southern Illinois University Carbondale,IL,Division I,Public
Southern Illinois University Edwardsville,IL,Division I,Public
University of Illinois Chicago,IL,Division I,Public
University of Illinois Urbana-Champaign,IL,Division I,Public
Western Illinois University,IL,Division I,Public
Ball State University,IN,Division I,Public
Butler University,IN,Division I,Private
Indiana State University,IN,Division I,Public
Indiana University Bloomington,IN,Division I,Public
Indiana University Indianapolis,IN,Division I,Public
Purdue University,IN,Division I,Public
Purdue University Fort Wayne,IN,Division I,Public
University of Evansville,IN,Division I,Private
University of Notre Dame du Lac,IN,Division I,Private
University of Southern Indiana,IN,Division I,Public
Valparaiso University,IN,Division I,Private
Kansas State University,KS,Division I,Public
University of Kansas,KS,Division I,Public
Wichita State University,KS,Division I,Public
Bellarmine University,KY,Division I,Private
Eastern Kentucky University,KY,Division I,Public
Morehead State University,KY,Division I,Public
Murray State University,KY,Division I,Public
Northern Kentucky University,KY,Division I,Public
University of Kentucky,KY,Division I,Public
University of Louisville,KY,Division I,Public
Western Kentucky University,KY,Division I,Public
Grambling State University,LA,Division I,Public
Louisiana State University and Agricultural and Mechanical College,LA,Division I,Public
Louisiana Tech University,LA,Division I,Public
McNeese State University,LA,Division I,Public
Nicholls State University,LA,Division I,Public
Northwestern State University of Louisiana,LA,Division I,Public
Southeastern Louisiana University,LA,Division I,Public
Southern University and A&M College,LA,Division I,Public
Tulane University of Louisiana,LA,Division I,Private
University of Louisiana at Lafayette,LA,Division I,Public
University of Louisiana at Monroe,LA,Division I,Public
University of New Orleans,LA,Division I,Public
Boston College,MA,Division I,Private
Boston University,MA,Division I,Private
College of the Holy Cross,MA,Division I,Private
Harvard University,MA,Division I,Private
Merrimack College,MA,Division I,Private
Northeastern University,MA,Division I,Private
Stonehill College,MA,Division I,Private
University of Massachusetts Amherst,MA,Division I,Public
University of Massachusetts Lowell,MA,Division I,Public
Coppin State University,MD,Division I,Public
Loyola University Maryland,MD,Division I,Private
Morgan State University,MD,Division I,Public
Mount Saint Mary's University,MD,Division I,Private
Towson University,MD,Division I,Public
United States Naval Academy,MD,Division I,Federal
University of Maryland Eastern Shore,MD,Division I,Public
"University of Maryland, Baltimore County",MD,Division I,Public
"University of Maryland, College Park",MD,Division I,Public
University of Maine,ME,Division I,Public
Central Michigan University,MI,Division I,Public
Eastern Michigan University,MI,Division I,Public
Michigan State University,MI,Division I,Public
Oakland University,MI,Division I,Public
