state,college,division,conference,subdivision,public_private,hbcu
AL,Alabama A&M University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
AL,Alabama State University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
AL,Auburn University,Division I,Southeastern Conference,I-FBS,Public,No
AL,Jacksonville State University,Division I,Conference USA,I-FCS,Public,No
AL,Samford University,Division I,Southern Conference,I-FCS,Private,No
AL,Troy University,Division I,Sun Belt Conference,I-FBS,Public,No
AL,University of Alabama,Division I,Southeastern Conference,I-FBS,Public,No
AL,University of Alabama at Birmingham,Division I,American Athletic Conference,I-FBS,Public,No
AL,University of South Alabama,Division I,Sun Belt Conference,I-FBS,Public,No
AK,University of Alaska Anchorage,Division II,Great Northwest Athletic Conference,II,Public,No
AK,University of Alaska Fairbanks,Division II,Great Northwest Athletic Conference,II,Public,No
AZ,Arizona State University,Division I,Big 12 Conference,I-FBS,Public,No
AZ,Grand Canyon University,Division I,Western Athletic Conference,I,Private,No
AZ,Northern Arizona University,Division I,Big Sky Conference,I-FCS,Public,No
AZ,University of Arizona,Division I,Big 12 Conference,I-FBS,Public,No
AR,Arkansas State University,Division I,Sun Belt Conference,I-FBS,Public,No
AR,University of Arkansas,Division I,Southeastern Conference,I-FBS,Public,No
AR,University of Arkansas at Little Rock,Division I,Ohio Valley Conference,I,Public,No
AR,University of Arkansas at Pine Bluff,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
AR,University of Central Arkansas,Division I,ASUN Conference,I-FCS,Public,No
CA,California Baptist University,Division I,Western Athletic Conference,I,Private,No
CA,California Polytechnic State University,Division I,Big West Conference,I-FCS,Public,No
CA,California State University Bakersfield,Division I,Big West Conference,I,Public,No
CA,California State University Fresno,Division I,Mountain West Conference,I-FBS,Public,No
CA,California State University Fullerton,Division I,Big West Conference,I,Public,No
CA,California State University Long Beach,Division I,Big West Conference,I,Public,No
CA,California State University Northridge,Division I,Big West Conference,I,Public,No
CA,California State University Sacramento,Division I,Big Sky Conference,I-FCS,Public,No
CA,Loyola Marymount University,Division I,West Coast Conference,I,Private,No
CA,Pepperdine University,Division I,West Coast Conference,I,Private,No
CA,Saint Mary's College of California,Division I,West Coast Conference,I,Private,No
CA,San Diego State University,Division I,Mountain West Conference,I-FBS,Public,No
CA,San Jose State University,Division I,Mountain West Conference,I-FBS,Public,No
CA,Santa Clara University,Division I,West Coast Conference,I,Private,No
CA,Stanford University,Division I,Atlantic Coast Conference,I-FBS,Private,No
CA,University of California Berkeley,Division I,Atlantic Coast Conference,I-FBS,Public,No
CA,University of California Davis,Division I,Big West Conference,I-FCS,Public,No
CA,University of California Irvine,Division I,Big West Conference,I,Public,No
CA,University of California Los Angeles,Division I,Big Ten Conference,I-FBS,Public,No
CA,University of California Riverside,Division I,Big West Conference,I,Public,No
CA,University of California San Diego,Division I,Big West Conference,I,Public,No
CA,University of California Santa Barbara,Division I,Big West Conference,I,Public,No
CA,University of San Diego,Division I,West Coast Conference,I-FCS,Private,No
CA,University of San Francisco,Division I,West Coast Conference,I,Private,No
CA,University of Southern California,Division I,Big Ten Conference,I-FBS,Private,No
CA,University of the Pacific,Division I,West Coast Conference,I,Private,No
CO,Colorado State University,Division I,Mountain West Conference,I-FBS,Public,No
CO,United States Air Force Academy,Division I,Mountain West Conference,I-FBS,Public,No
CO,University of Colorado Boulder,Division I,Big 12 Conference,I-FBS,Public,No
CO,University of Denver,Division I,Summit League,I,Private,No
CO,University of Northern Colorado,Division I,Big Sky Conference,I-FCS,Public,No
CT,Central Connecticut State University,Division I,Northeast Conference,I-FCS,Public,No
CT,Fairfield University,Division I,Metro Atlantic Athletic Conference,I,Private,No
CT,Quinnipiac University,Division I,Metro Atlantic Athletic Conference,I,Private,No
CT,Sacred Heart University,Division I,Metro Atlantic Athletic Conference,I,Private,No
CT,University of Connecticut,Division I,Big East Conference,I-FBS,Public,No
CT,Yale University,Division I,Ivy League,I-FCS,Private,No
DE,Delaware State University,Division I,Mid-Eastern Athletic Conference,I-FCS,Public,Yes
DE,University of Delaware,Division I,Coastal Athletic Association,I-FCS,Public,No
DC,American University,Division I,Patriot League,I,Private,No
DC,Georgetown University,Division I,Big East Conference,I,Private,No
DC,Howard University,Division I,Mid-Eastern Athletic Conference,I-FCS,Private,Yes
FL,Bethune-Cookman University,Division I,Southwestern Athletic Conference,I-FCS,Private,Yes
FL,Florida A&M University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
FL,Florida Atlantic University,Division I,American Athletic Conference,I-FBS,Public,No
FL,Florida Gulf Coast University,Division I,ASUN Conference,I,Public,No
FL,Florida International University,Division I,Conference USA,I-FBS,Public,No
FL,Florida State University,Division I,Atlantic Coast Conference,I-FBS,Public,No
FL,Jacksonville University,Division I,ASUN Conference,I,Private,No
FL,Stetson University,Division I,ASUN Conference,I,Private,No
FL,University of Central Florida,Division I,Big 12 Conference,I-FBS,Public,No
FL,University of Florida,Division I,Southeastern Conference,I-FBS,Public,No
FL,University of Miami,Division I,Atlantic Coast Conference,I-FBS,Private,No
FL,University of North Florida,Division I,ASUN Conference,I,Public,No
FL,University of South Florida,Division I,American Athletic Conference,I-FBS,Public,No
GA,Georgia Tech,Division I,Atlantic Coast Conference,I-FBS,Public,No
GA,Georgia Southern University,Division I,Sun Belt Conference,I-FBS,Public,No
GA,Georgia State University,Division I,Sun Belt Conference,I-FBS,Public,No
GA,Kennesaw State University,Division I,Conference USA,I-FCS,Public,No
GA,Mercer University,Division I,Southern Conference,I-FCS,Private,No
GA,Savannah State University,Division I,Independent,I-FCS,Public,Yes
GA,University of Georgia,Division I,Southeastern Conference,I-FBS,Public,No
HI,University of Hawaii at Manoa,Division I,Mountain West Conference,I-FBS,Public,No
ID,Boise State University,Division I,Mountain West Conference,I-FBS,Public,No
ID,Idaho State University,Division I,Big Sky Conference,I-FCS,Public,No
IL,Bradley University,Division I,Missouri Valley Conference,I,Private,No
IL,Chicago State University,Division I,Northeast Conference,I,Public,No
IL,DePaul University,Division I,Big East Conference,I,Private,No
IL,Eastern Illinois University,Division I,Ohio Valley Conference,I-FCS,Public,No
IL,Illinois State University,Division I,Missouri Valley Conference,I-FCS,Public,No
IL,Loyola University Chicago,Division I,Atlantic 10 Conference,I,Private,No
IL,Northern Illinois University,Division I,Mid-American Conference,I-FBS,Public,No
IL,Northwestern University,Division I,Big Ten Conference,I-FBS,Private,No
IL,Southern Illinois University Carbondale,Division I,Missouri Valley Conference,I-FCS,Public,No
IL,Southern Illinois University Edwardsville,Division I,Ohio Valley Conference,I,Public,No
IL,University of Illinois Chicago,Division I,Missouri Valley Conference,I,Public,No
IL,University of Illinois Urbana-Champaign,Division I,Big Ten Conference,I-FBS,Public,No
IL,Western Illinois University,Division I,Ohio Valley Conference,I-FCS,Public,No
IN,Ball State University,Division I,Mid-American Conference,I-FBS,Public,No
IN,Butler University,Division I,Big East Conference,I,Private,No
IN,Indiana State University,Division I,Missouri Valley Conference,I-FCS,Public,No
IN,Indiana University Bloomington,Division I,Big Ten Conference,I-FBS,Public,No
IN,Indiana University Indianapolis,Division I,Horizon League,I,Public,No
IN,Purdue University,Division I,Big Ten Conference,I-FBS,Public,No
IN,University of Evansville,Division I,Missouri Valley Conference,I,Private,No
IN,University of Notre Dame,Division I,Atlantic Coast Conference,I-FBS,Private,No
IN,Valparaiso University,Division I,Missouri Valley Conference,I,Private,No
IA,Drake University,Division I,Missouri Valley Conference,I-FCS,Private,No
IA,Iowa State University,Division I,Big 12 Conference,I-FBS,Public,No
IA,University of Iowa,Division I,Big Ten Conference,I-FBS,Public,No
IA,University of Northern Iowa,Division I,Missouri Valley Conference,I-FCS,Public,No
KS,Kansas State University,Division I,Big 12 Conference,I-FBS,Public,No
KS,University of Kansas,Division I,Big 12 Conference,I-FBS,Public,No
KS,Wichita State University,Division I,American Athletic Conference,I,Public,No
KY,Bellarmine University,Division I,ASUN Conference,I,Private,No
KY,Eastern Kentucky University,Division I,ASUN Conference,I-FCS,Public,No
KY,Morehead State University,Division I,Pioneer Football League,I-FCS,Public,No
KY,Murray State University,Division I,Missouri Valley Conference,I-FCS,Public,No
KY,Northern Kentucky University,Division I,Horizon League,I,Public,No
KY,University of Kentucky,Division I,Southeastern Conference,I-FBS,Public,No
KY,University of Louisville,Division I,Atlantic Coast Conference,I-FBS,Public,No
KY,Western Kentucky University,Division I,Conference USA,I-FBS,Public,No
LA,Grambling State University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
LA,Louisiana State University,Division I,Southeastern Conference,I-FBS,Public,No
LA,Louisiana Tech University,Division I,Conference USA,I-FBS,Public,No
LA,McNeese State University,Division I,Southland Conference,I-FCS,Public,No
LA,Nicholls State University,Division I,Southland Conference,I-FCS,Public,No
LA,Northwestern State University,Division I,Southland Conference,I-FCS,Public,No
LA,Southeastern Louisiana University,Division I,Southland Conference,I-FCS,Public,No
LA,Southern University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
LA,Tulane University,Division I,American Athletic Conference,I-FBS,Private,No
LA,University of Louisiana at Lafayette,Division I,Sun Belt Conference,I-FBS,Public,No
LA,University of Louisiana at Monroe,Division I,Sun Belt Conference,I-FBS,Public,No
LA,University of New Orleans,Division I,Southland Conference,I,Public,No
ME,University of Maine,Division I,America East Conference,I-FCS,Public,No
MD,Coppin State University,Division I,Mid-Eastern Athletic Conference,I,Public,Yes
MD,Loyola University Maryland,Division I,Patriot League,I,Private,No
MD,Morgan State University,Division I,Mid-Eastern Athletic Conference,I-FCS,Public,Yes
MD,Mount St. Mary's University,Division I,Metro Atlantic Athletic Conference,I,Private,No
