College,Sorority Name,Instagram Handle
"Adelphi University","Alpha Epsilon Phi",""
"Adelphi University","Phi Sigma Sigma",""
"Adelphi University","Delta Phi Epsilon",""
"Adelphi University","Theta Phi Alpha",""
"Adelphi University","Delta Delta Delta",""
"Adelphi University","Alpha Sigma Tau",""
"Adelphi University","Alpha Kappa Alpha",""
"Adelphi University","Delta Sigma Theta",""
"Adelphi University","Phi Mu",""
"Adelphi University","Delta Gamma",""
"Adelphi University","Sigma Delta Tau",""
"Adrian College","Alpha Phi",""
"Adrian College","Alpha Sigma Alpha",""
"Adrian College","Chi Omega",""
"Alabama Agricultural and Mechanical University","",""
"Albany State University","Alpha Epsilon Phi",""
"Albany State University","Alpha Kappa Alpha",""
"Albany State University","Delta Sigma Theta",""
"Albany State University","Zeta Phi Beta",""
"Albany State University","Sigma Gamma Rho",""
"Albion College","Alpha Kappa Alpha",""
"Albion College","Kappa Delta",""
"Albion College","Delta Gamma",""
"Albion College","Kappa Alpha Theta",""
"Albion College","",""
"Albion College","Alpha Xi Delta",""
"Albion College","Alpha Chi Omega",""
"Albright College","Sigma Kappa",""
"Albright College","Phi Mu",""
"Albright College","Alpha Delta Pi",""
"Alcorn State University","Delta Sigma Theta",""
"Alcorn State University","Sigma Gamma Rho",""
"Alcorn State University","Zeta Phi Beta",""
"Alcorn State University","Alpha Kappa Alpha",""
"Allegheny College","Kappa Kappa Gamma",""
"Allegheny College","Alpha Delta Pi",""
"Allegheny College","Delta Delta Delta",""
"Allegheny College","Kappa Alpha Theta",""
"Allegheny College","Alpha Chi Omega",""
"Allen University","Zeta Phi Beta",""
"Allen University","Delta Sigma Theta",""
"Allen University","Sigma Gamma Rho",""
"Allen University","Alpha Kappa Alpha",""
"Alma College","Alpha Xi Delta",""
"Alma College","Phi Sigma Sigma",""
"Alma College","Alpha Gamma Delta",""
"Alma College","Gamma Phi Beta",""
"American University","Alpha Kappa Alpha",""
"American University","Alpha Sigma Tau",""
"American University","Phi Sigma Sigma",""
"American University","Chi Omega",""
"American University","Phi Mu",""
"American University","Delta Gamma",""
"American University","Delta Zeta",""
"American University","Zeta Phi Beta",""
"American University","Sigma Kappa",""
"American University","Lambda Tau Omega",""
"American University","Alpha Xi Delta",""
"American University","Lambda Pi Chi",""
"American University","Alpha Chi Omega",""
"American University","",""
"American University","Alpha Epsilon Phi",""
"American University","Delta Sigma Theta",""
"American University","Sigma Delta Tau",""
"American University","Delta Phi Epsilon",""
"American University","Sigma Gamma Rho",""
"Amherst College","Alpha Epsilon Phi",""
"Amherst College","Sigma Lambda Gamma",""
"Amherst College","Sigma Delta Tau",""
"Amherst College","Alpha Kappa Alpha",""
"Amherst College","Sigma Kappa",""
"Amherst College","Kappa Phi Lambda",""
